Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
272,Kris Dunn\dunnkr01,PG,23,CHI,40,31,29.6,5.8,13.4,0.433,0.8,2.6,0.324,5,10.8,0.458,0.463,1.3,1.9,0.703,0.6,4.1,4.6,6.4,2.1,0.5,3,3.3,13.7
273,Derrick Jones\jonesde02,SF,20,TOT,15,7,13.9,1.1,2.5,0.432,0.1,0.7,0.1,1,1.8,0.556,0.446,0.9,1.3,0.65,1,0.9,1.9,0.5,0.3,0.9,0.3,1.3,3.1
274,Shelvin Mack\macksh01,PG,27,ORL,37,3,16.9,1.7,3.9,0.432,0.4,1.2,0.302,1.4,2.8,0.485,0.476,1.1,1.5,0.759,0.3,1.7,2,3.6,0.6,0.1,0.8,1,4.9
275,Treveon Graham\grahatr01,SG,24,CHO,37,1,16.9,1.7,3.9,0.432,0.7,1.6,0.433,1,2.3,0.43,0.521,0.7,0.9,0.714,0.7,1.5,2.2,0.9,0.5,0,0.5,1.8,4.8
276,Will Barton\bartowi01,SG,27,DEN,50,16,31.8,5.2,12.1,0.431,1.7,5,0.351,3.5,7.2,0.486,0.502,2,2.7,0.756,0.8,4,4.8,4,1.1,0.6,1.9,1.9,14.2
277,Bryn Forbes\forbebr01,SG,24,SAS,53,12,21,3,7,0.431,1.4,3.4,0.406,1.6,3.6,0.455,0.53,0.5,0.8,0.545,0.2,1.3,1.5,1,0.4,0,0.5,1.6,7.9
278,Aaron Brooks\brookaa01,PG,33,MIN,24,1,6.4,0.9,2.1,0.431,0.3,0.9,0.333,0.6,1.3,0.5,0.5,0.1,0.2,0.75,0.2,0.3,0.5,0.7,0.2,0,0.3,0.8,2.3
279,Lauri Markkanen\markkla01,PF,20,CHI,47,47,30.2,5.5,12.8,0.43,2.3,6.4,0.365,3.2,6.5,0.493,0.52,2,2.3,0.855,1.1,6.7,7.7,1.3,0.5,0.6,1.2,1.6,15.3
280,Andre Iguodala\iguodan01,SF,34,GSW,43,4,25.7,2.1,4.9,0.429,0.4,1.7,0.227,1.7,3.2,0.54,0.469,1,1.5,0.636,0.8,2.9,3.8,3.3,0.9,0.6,1,1.5,5.6
281,Luke Kennard\kennalu01,SG,21,DET,43,4,18.4,2.5,5.9,0.429,1.1,2.5,0.426,1.5,3.4,0.432,0.52,0.7,0.8,0.882,0.3,1.9,2.2,1.3,0.6,0.2,0.9,1,6.8
