Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
349,Justin Jackson\jacksju01,SF,22,SAC,36,9,17.8,2.1,5.2,0.406,0.7,2.3,0.313,1.4,2.9,0.481,0.476,0.3,0.4,0.625,0.3,1.7,2.1,0.7,0.4,0.2,0.6,1,5.2
350,Wesley Matthews\matthwe02,SF,31,DAL,52,51,34.5,4.5,11.1,0.405,2.3,6.3,0.375,2.1,4.8,0.442,0.51,1.4,1.7,0.82,0.4,2.9,3.3,2.8,1.2,0.2,1.3,2.3,12.7
351,Tim Frazier\fraziti01,PG,27,WAS,37,11,15.3,1.3,3.1,0.405,0.3,1,0.316,0.9,2.1,0.449,0.457,0.4,0.5,0.778,0.3,1.7,2,3.5,0.8,0.2,1.1,1.7,3.2
352,Jonathan Isaac\isaacjo01,PF,20,ORL,15,2,18.9,2,4.9,0.405,0.3,1.2,0.278,1.7,3.7,0.446,0.439,0.9,1.2,0.778,0.8,2.9,3.7,0.7,0.7,1,1,1.7,5.3
353,Patrick Beverley\beverpa01,SG,29,LAC,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,2.2,5.4,0.407,0.504,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
354,Vince Carter\cartevi01,SF,41,SAC,31,4,16.6,1.9,4.6,0.403,1,2.6,0.388,0.9,2.1,0.422,0.51,0.4,0.6,0.611,0.3,1.8,2.1,1.1,0.8,0.6,0.5,1.7,5.1
355,Devin Harris\harride01,PG,34,DAL,42,1,18.3,2.6,6.5,0.403,1,2.9,0.342,1.6,3.6,0.451,0.478,2.1,2.5,0.821,0.2,1.7,1.9,1.9,0.7,0.2,1.1,2.3,8.3
356,Johnny O'Bryant\obryajo01,PF,24,CHO,35,0,10.7,1.9,4.8,0.402,0.4,1.2,0.326,1.5,3.6,0.429,0.444,0.6,0.7,0.84,0.8,1.9,2.7,0.4,0.2,0.2,0.4,1.3,4.9
357,Isaiah Taylor\taylois01,PG,23,ATL,37,0,14.1,1.6,4.1,0.401,0.2,0.9,0.273,1.4,3.2,0.437,0.431,0.9,1.5,0.63,0.3,1,1.3,2.2,0.5,0.2,0.8,1.3,4.5
358,Gary Payton\paytoga02,PG,25,TOT,14,6,8.9,1.1,2.9,0.4,0.1,0.9,0.154,1,1.9,0.519,0.425,0.1,0.2,0.667,0.4,1,1.4,0.9,0.2,0.2,0.2,1.5,2.6
359,Udonis Haslem\hasleud01,C,37,MIA,8,0,5.6,0.3,0.6,0.4,0.1,0.4,0.333,0.1,0.3,0.5,0.5,0,0,,0.3,0.4,0.6,0.4,0,0.1,0.3,0.3,0.6
360,Jalen Jones\jonesja04,SF,24,TOT,5,0,4.4,0.4,1,0.4,0.2,0.2,1,0.2,0.8,0.25,0.5,0.4,0.4,1,0,0.6,0.6,0,0,0,0,0.4,1.4
361,Malcolm Miller\millema01,SF,24,TOR,3,0,4.3,0.7,1.7,0.4,0.7,1.3,0.5,0,0.3,0,0.6,0,0,,0.3,0.3,0.7,0,0,0,0,0.3,2
362,Andrew Harrison\harrian01,PG,23,MEM,42,32,21.7,2.5,6.4,0.399,0.7,2.1,0.326,1.9,4.3,0.436,0.453,2,2.5,0.788,0.4,1.8,2.2,2.6,0.7,0.5,1.4,2.2,7.7
363,Malik Beasley\beaslma01,SG,21,DEN,43,0,10.6,1.3,3.2,0.399,0.4,1.4,0.295,0.9,1.8,0.481,0.464,0.3,0.5,0.652,0.3,1.1,1.4,0.6,0.3,0.1,0.4,0.8,3.3
364,Dennis Smith\smithde03,PG,20,DAL,44,44,28.9,5.7,14.2,0.398,1.5,4.6,0.325,4.2,9.6,0.433,0.45,1.9,2.8,0.685,0.7,3.2,3.9,4.8,1,0.3,2.7,2.1,14.8
365,Spencer Dinwiddie\dinwisp01,PG,24,BRK,51,41,28.4,4.4,11,0.398,1.9,5.6,0.334,2.5,5.4,0.464,0.483,2.7,3.3,0.818,0.5,2.7,3.3,6.4,0.7,0.4,1.6,2.4,13.4
366,Dion Waiters\waitedi01,SG,26,MIA,30,30,30.6,5.4,13.7,0.398,1.7,5.7,0.306,3.7,8,0.463,0.461,1.7,2.3,0.739,0.3,2.3,2.6,3.8,0.8,0.3,2.3,2,14.3
367,Thon Maker\makerth01,C,20,MIL,49,8,18,1.6,4.1,0.396,0.4,1.3,0.317,1.2,2.8,0.432,0.446,0.9,1.3,0.683,1.1,2.4,3.5,0.7,0.6,0.9,0.7,2.4,4.6
368,Emmanuel Mudiay\mudiaem01,PG,21,DEN,39,0,17.9,3,7.6,0.396,0.9,2.4,0.379,2.1,5.2,0.404,0.456,1.6,1.9,0.803,0.4,1.7,2.1,2.9,0.5,0.1,1.7,1.1,8.5
369,Josh Jackson\jacksjo02,SF,20,PHO,50,17,22.2,3.9,9.8,0.395,0.7,2.7,0.267,3.1,7.1,0.445,0.432,1.9,3.1,0.609,1.1,2.7,3.8,1.2,0.9,0.3,1.7,2.7,10.3
370,Jared Dudley\dudleja01,PF,32,PHO,26,0,14,1.1,2.7,0.394,0.7,1.8,0.37,0.4,1,0.44,0.514,0.7,0.8,0.9,0.3,1.7,2,2,0.6,0.2,0.4,1.7,3.5
371,Ricky Rubio\rubiori01,PG,27,UTA,49,49,29.4,4,10.1,0.393,1.1,3.5,0.304,2.9,6.6,0.44,0.446,2.4,2.8,0.868,0.5,3.7,4.2,5,1.6,0.1,2.9,2.6,11.4
372,Lance Thomas\thomala01,PF,29,NYK,49,21,18.4,1.4,3.6,0.393,0.6,1.5,0.397,0.8,2.1,0.39,0.475,0.7,0.8,0.821,0.7,1.8,2.5,0.6,0.3,0.2,0.6,1.7,4.1
373,Terrance Ferguson\fergute01,SG,19,OKC,36,9,13,1.2,3,0.393,0.6,2,0.288,0.6,0.9,0.618,0.491,0.1,0.1,0.75,0.4,0.5,0.9,0.3,0.4,0.1,0.2,1.7,3
374,Danny Green\greenda02,SG,30,SAS,42,42,26,3.1,7.9,0.392,1.6,4.4,0.355,1.5,3.5,0.438,0.491,0.5,0.7,0.733,0.5,3.1,3.5,1.9,1,1.1,1.2,1.4,8.3
375,DeAndre Liggins\liggide01,SG,29,TOT,35,1,15.2,0.8,2.1,0.392,0.4,1.1,0.35,0.4,1,0.441,0.486,0.1,0.1,0.4,0.2,1.3,1.5,0.9,0.9,0.3,0.4,1.9,2.1
376,Terry Rozier\roziete01,PG,23,BOS,52,1,23.3,3.3,8.6,0.391,1.5,4.3,0.357,1.8,4.3,0.425,0.481,1,1.3,0.788,0.7,3.8,4.5,2.3,1.1,0.2,0.8,1.4,9.2
377,Norman Powell\powelno01,SG,24,TOR,41,12,17.1,2.5,6.3,0.39,0.8,2.9,0.291,1.6,3.5,0.472,0.456,0.7,0.9,0.806,0.2,1.7,1.9,1.5,0.8,0.3,1.1,1.9,6.5
378,Marcus Georges-Hunt\georgma01,SG,23,MIN,32,0,5.9,0.5,1.3,0.39,0.1,0.4,0.214,0.4,0.8,0.481,0.427,0.3,0.5,0.5,0.2,0.2,0.4,0.2,0.1,0,0.1,0.8,1.3
379,Zach LaVine\lavinza01,SG,22,CHI,9,9,22.2,4.9,12.6,0.389,1.7,4.7,0.357,3.2,7.9,0.408,0.456,2.3,3.2,0.724,0.3,3.8,4.1,2.6,1,0.1,1.6,2.1,13.8
380,Royce O'Neale\onealro01,SF,24,UTA,37,0,11.9,1.3,3.3,0.388,0.5,1.6,0.345,0.7,1.7,0.429,0.471,1,1.3,0.771,0.2,2.4,2.5,1,0.4,0.1,0.5,1,4.1
381,Milos Teodosic\teodomi01,PG,30,LAC,23,23,25.9,3.4,8.9,0.387,2,5.7,0.341,1.5,3.1,0.472,0.498,0.8,0.9,0.857,0.5,2.7,3.1,5.3,0.5,0.1,2.3,2.4,9.6
382,Mike James\jamesmi02,PG,27,TOT,33,10,20.4,3.7,9.5,0.387,0.8,2.9,0.268,2.9,6.6,0.44,0.429,1.9,2.5,0.762,0.4,2.3,2.7,3.6,0.8,0.2,1.5,1.4,10.1
383,Arron Afflalo\afflaar01,SG,32,ORL,37,2,12.8,1.1,2.9,0.387,0.4,1.2,0.372,0.7,1.7,0.397,0.462,0.4,0.5,0.8,0.1,1.1,1.2,0.5,0.1,0.1,0.4,1.1,3.1
384,Allen Crabbe\crabbal01,SG,25,BRK,48,41,28.8,3.9,10.2,0.386,2.3,6.6,0.354,1.6,3.6,0.443,0.5,1.5,1.8,0.839,0.4,4,4.4,1.7,0.6,0.4,1.2,2.2,11.7
385,Marreese Speights\speigma01,C,30,ORL,40,2,13.1,2.6,6.6,0.386,1.6,4.4,0.364,1,2.2,0.432,0.508,0.8,1.1,0.727,0.4,2.2,2.6,0.8,0.2,0.4,0.7,2.1,7.5
386,Alex Abrines\abrinal01,SG,24,OKC,45,5,14.4,1.4,3.6,0.385,1,2.5,0.377,0.4,1,0.404,0.519,0.6,0.7,0.867,0.4,1.2,1.6,0.3,0.5,0,0.4,1.6,4.3
387,C.J. Miles\milescj01,SF,30,TOR,41,3,18.6,3.3,8.5,0.385,2.4,6.4,0.372,0.9,2.1,0.425,0.524,1,1.2,0.824,0.2,1.7,1.9,0.6,0.7,0.4,0.5,1.9,9.9
388,Frank Mason\masonfr01,PG,23,SAC,29,2,18.6,2.7,6.9,0.385,0.6,1.5,0.419,2,5.4,0.376,0.43,1.7,2.2,0.762,0.4,1.7,2.1,2.9,0.5,0.1,1.3,1.1,7.6
389,Malcolm Delaney\delanma01,PG,28,ATL,43,2,19.2,2,5.3,0.384,0.8,2.3,0.351,1.3,3.1,0.409,0.459,1.2,1.5,0.785,0.2,1.7,1.9,2.9,0.6,0.1,1.3,1.6,6.1
390,Matthew Dellavedova\dellama01,PG,27,MIL,34,3,18.7,1.6,4.1,0.383,0.8,2.1,0.394,0.8,2.1,0.371,0.482,0.6,0.6,0.909,0.4,1.3,1.6,3.9,0.4,0,1.3,1.8,4.6
391,Timothe Luwawu-Cabarrot\luwawti01,SF,22,PHI,44,7,17.2,2.2,5.7,0.382,1.1,3.3,0.34,1,2.3,0.441,0.482,1,1.3,0.786,0.3,1.3,1.6,1.2,0.3,0.1,0.8,2.1,6.5
392,Shane Larkin\larkish01,PG,25,BOS,37,0,11.6,1.3,3.3,0.382,0.5,1.3,0.347,0.8,2,0.405,0.451,0.5,0.6,0.864,0.2,1,1.2,1.2,0.4,0.1,0.5,1,3.5
393,Mike Conley\conlemi01,PG,30,MEM,12,12,31.1,5.3,14,0.381,2,6.4,0.312,3.3,7.6,0.44,0.452,4.4,5.5,0.803,0,2.3,2.3,4.1,1,0.3,1.5,2,17.1
394,P.J. Tucker\tuckepj01,SF,32,HOU,49,4,27.1,1.8,4.8,0.381,1.1,3.2,0.342,0.8,1.7,0.457,0.494,0.7,0.8,0.8,1.1,4.8,5.9,0.8,1,0.2,0.8,2.7,5.4
395,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,1,21.1,2.6,6.9,0.38,1.1,3.3,0.333,1.5,3.6,0.423,0.46,2.3,2.6,0.902,0.3,2,2.3,3.8,0.8,0.1,1.5,1.8,8.6
396,Abdel Nader\naderab01,SF,24,BOS,23,0,8.3,0.8,2.2,0.38,0.4,1.1,0.385,0.4,1,0.375,0.48,0.1,0.3,0.5,0.2,0.7,0.9,0.4,0.2,0.2,0.5,0.7,2.2
397,Tyler Ennis\ennisty01,PG,23,LAL,31,11,11.7,1.4,3.7,0.379,0.2,1,0.188,1.2,2.7,0.452,0.405,0.4,0.6,0.722,0.3,1.3,1.6,1.8,0.5,0.2,0.5,1.6,3.5
398,Iman Shumpert\shumpim01,SG,27,CLE,14,6,19.7,1.6,4.1,0.379,0.5,1.9,0.269,1.1,2.3,0.469,0.44,0.8,1.1,0.733,0.5,2.4,2.9,1.2,0.6,0.4,1.2,1.6,4.4
399,Shabazz Muhammad\muhamsh01,SF,25,MIN,30,2,9.8,1.5,3.9,0.379,0.1,0.6,0.211,1.3,3.2,0.412,0.397,0.7,1,0.71,0.5,1,1.5,0.2,0.2,0.1,0.1,0.8,3.8
400,Guerschon Yabusele\yabusgu01,PF,22,BOS,19,0,4.7,0.6,1.5,0.379,0.4,1.1,0.35,0.2,0.5,0.444,0.5,0.1,0.1,1,0.5,0.9,1.5,0.3,0,0.1,0.3,0.7,1.6
401,J.R. Smith\smithjr01,SG,32,CLE,49,46,29.8,2.8,7.3,0.378,1.8,5.1,0.347,1,2.3,0.446,0.497,0.5,0.7,0.676,0.4,2.5,2.9,2,1,0.1,1,2.2,7.8
402,Langston Galloway\gallola01,SG,26,DET,40,2,14.9,2.2,5.8,0.378,1.4,3.8,0.358,0.8,2,0.418,0.496,0.6,0.8,0.774,0.2,1.5,1.7,1,0.6,0.1,0.3,0.8,6.3
403,DeAndre' Bembry\bembrde01,SF,23,ATL,18,0,17.3,1.8,4.9,0.375,0.4,1.1,0.35,1.4,3.8,0.382,0.415,0.8,1.2,0.667,0.4,1.9,2.3,1.4,0.7,0.4,2,1.7,4.8
404,Kyle Singler\singlky01,SF,29,OKC,8,0,5.5,0.8,2,0.375,0.3,0.6,0.4,0.5,1.4,0.364,0.438,0.5,1.1,0.444,0,0.8,0.8,0,0.1,0,0.3,0.5,2.3
405,Jeff Withey\witheje01,C,27,DAL,10,0,3.9,0.6,1.6,0.375,0.2,1,0.2,0.4,0.6,0.667,0.438,0.1,0.2,0.5,0.1,0.9,1,0,0,0.3,0.2,0.3,1.5
406,Patrick Patterson\pattepa01,PF,28,OKC,51,0,14.5,1.1,2.9,0.374,0.8,1.9,0.394,0.3,0.9,0.333,0.507,0.4,0.4,0.909,0.3,1.8,2.1,0.6,0.6,0.3,0.5,1,3.3
407,Juan Hernangomez\hernaju01,PF,22,DEN,18,3,11.8,1.1,2.8,0.373,0.6,1.9,0.314,0.4,0.9,0.5,0.48,0.5,0.6,0.818,0.8,1.6,2.3,0.4,0.2,0.2,0.4,1,3.2
408,Justin Holiday\holidju01,SG,28,CHI,50,50,34,4.3,11.7,0.372,2.4,6.5,0.375,1.9,5.2,0.368,0.477,2.1,2.6,0.828,0.6,3.9,4.5,2.3,1.1,0.6,1.3,2,13.2
409,Tyler Ulis\ulisty01,PG,22,PHO,51,35,23,2.6,7.1,0.372,0.5,1.8,0.258,2.2,5.3,0.411,0.405,1.1,1.4,0.806,0.3,1.4,1.7,4,1.1,0.1,1.6,1.7,6.9
410,Mario Chalmers\chalmma01,PG,31,MEM,45,7,22.6,2.6,7,0.371,0.8,3,0.274,1.8,4,0.444,0.43,1.8,2.2,0.837,0.2,2.6,2.8,3.1,1.3,0.2,1.6,2.8,7.8
411,Dragan Bender\bendedr01,PF,20,PHO,52,8,22.3,1.9,5.1,0.367,1.3,3.5,0.366,0.6,1.6,0.369,0.493,0.3,0.4,0.762,0.3,3.2,3.5,1.2,0.3,0.6,1.2,1.8,5.4
412,Henry Ellenson\ellenhe01,PF,21,DET,19,0,6.8,1.2,3.2,0.367,0.5,1.3,0.36,0.7,1.8,0.371,0.442,0.1,0.2,0.333,0.2,1.7,1.9,0.4,0.2,0,0.5,0.5,2.8
413,Antonio Blakeney\blakean01,SG,21,CHI,12,0,14.2,2.5,6.8,0.366,0.8,2.5,0.3,1.8,4.3,0.404,0.421,1.3,1.8,0.762,0.3,1.4,1.7,0.6,0.2,0,0.7,0.7,7.1
414,Ante Zizic\zizican01,C,21,CLE,12,1,3.4,0.3,0.9,0.364,0,0,,0.3,0.9,0.364,0.364,0.4,0.6,0.714,0.4,0.8,1.3,0.1,0,0.3,0.2,0.3,1.1
415,Isaiah Thomas\thomais02,PG,28,CLE,12,11,26.5,4.8,13.3,0.363,1.5,6,0.25,3.3,7.3,0.455,0.419,4.3,5,0.85,0.6,1.3,1.8,4.2,0.7,0.2,2.8,1.8,15.4
416,Jodie Meeks\meeksjo01,SG,30,WAS,47,0,15.3,1.9,5.3,0.363,0.9,2.9,0.306,1,2.4,0.43,0.446,1.4,1.6,0.865,0.3,1.4,1.7,0.8,0.4,0,0.5,0.8,6.1
417,Stanley Johnson\johnsst04,SF,21,DET,38,25,27.3,2.7,7.6,0.36,1,3.5,0.278,1.8,4.1,0.429,0.424,1.5,2,0.773,0.5,3.2,3.8,1.6,1.2,0.2,0.9,2.4,8
418,Jason Terry\terryja01,SG,40,MIL,20,0,10.7,0.7,2,0.359,0.4,1.3,0.269,0.4,0.7,0.538,0.449,0.1,0.1,1,0.1,0.8,0.9,0.7,0.5,0.2,0.5,0.9,1.9
419,Danilo Gallinari\gallida01,SF,29,LAC,12,12,31.3,4.5,12.6,0.358,1.4,5.5,0.258,3.1,7.1,0.435,0.414,3.1,3.2,0.974,0.2,4.3,4.4,2.4,0.7,0.2,1.3,1.5,13.5
420,Marcus Smart\smartma01,SG,23,BOS,46,10,30.3,3.5,9.7,0.357,1.4,4.6,0.299,2.1,5.2,0.409,0.427,1.8,2.4,0.736,0.8,2.8,3.6,4.7,1.3,0.5,2.5,2.7,10.1
421,Dwayne Bacon\bacondw01,SG,22,CHO,32,6,14.4,1.3,3.6,0.357,0.3,1,0.313,1,2.6,0.373,0.4,0.3,0.4,0.714,0,2.8,2.8,0.6,0.3,0.1,0.5,1.2,3.2
422,Caleb Swanigan\swanica01,PF,20,POR,15,3,8.9,1,2.8,0.357,0.1,0.3,0.2,0.9,2.5,0.378,0.369,0.5,0.9,0.615,0.8,1.6,2.4,0.6,0.3,0.2,0.7,1.6,2.6
423,Josh Huestis\huestjo01,PF,26,OKC,45,1,14.5,0.9,2.6,0.357,0.5,1.7,0.289,0.4,0.9,0.487,0.452,0.1,0.2,0.273,0.6,1.7,2.4,0.3,0.3,0.7,0.5,1.3,2.4
424,Lonzo Ball\balllo01,PG,20,LAL,36,36,33.9,3.9,11.1,0.356,1.6,5.4,0.303,2.3,5.7,0.407,0.43,0.7,1.4,0.48,1.3,5.8,7.1,7.1,1.5,0.9,2.7,2.2,10.2
425,Frank Ntilikina\ntilila01,PG,19,NYK,49,0,20.6,2.1,5.9,0.352,0.6,1.9,0.323,1.4,4,0.366,0.404,0.6,0.8,0.683,0.3,1.8,2.1,3.4,1,0.2,1.8,2.3,5.3
426,Tyler Dorsey\dorsety01,SG,21,ATL,25,0,9.6,1.2,3.6,0.348,0.8,2.1,0.404,0.4,1.5,0.27,0.466,0.6,0.7,0.778,0.2,1.2,1.4,0.7,0.1,0.1,0.3,0.5,3.9
427,Danuel House\houseda01,SG,24,PHO,13,0,12.2,1.4,4,0.346,0.6,1.8,0.333,0.8,2.2,0.357,0.423,1.2,1.3,0.882,0.6,1.7,2.3,0.6,0.3,0,0.4,1.1,4.5
428,Paul Zipser\zipsepa01,SF,23,CHI,42,8,14.5,1.4,4,0.343,0.5,1.7,0.324,0.8,2.3,0.357,0.411,0.2,0.4,0.625,0.2,2.1,2.4,0.8,0.4,0.2,0.8,1.4,3.5
429,Jawun Evans\evansja01,PG,21,LAC,38,4,18.4,2.2,6.3,0.343,0.3,1.3,0.265,1.8,5,0.363,0.37,1,1.2,0.787,0.2,1.8,2,2.4,0.9,0.2,1.1,2.2,5.6
430,Quincy Acy\acyqu01,PF,27,BRK,47,4,19.9,1.8,5.2,0.341,1.4,4.1,0.34,0.4,1.2,0.345,0.474,0.9,1.1,0.8,0.6,3.5,4.2,0.6,0.4,0.3,1,2.1,5.8
431,Ron Baker\bakerro01,SG,24,NYK,29,1,13.3,0.7,2,0.339,0.4,1.1,0.333,0.3,0.9,0.346,0.432,0.7,0.9,0.769,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4
432,Malik Monk\monkma01,SG,19,CHO,37,0,12.7,1.9,5.5,0.337,1.1,3.2,0.342,0.8,2.4,0.33,0.434,0.3,0.5,0.706,0.1,0.9,0.9,1.3,0.2,0.1,0.6,0.9,5.1
433,Damien Wilkins\wilkida02,SF,38,IND,19,1,8,0.7,2.1,0.333,0.2,0.9,0.222,0.5,1.1,0.429,0.385,0.2,0.2,0.75,0.3,0.6,0.8,0.5,0.1,0.1,0.3,0.4,1.7
434,Lorenzo Brown\brownlo01,PG,27,TOR,11,0,7.6,0.5,1.6,0.333,0,0.5,0,0.5,1.1,0.5,0.333,0,0,,0,0.9,0.9,1.1,0.3,0,0,0.3,1.1
435,Thomas Bryant\bryanth01,C,20,LAL,5,0,3,0.2,0.6,0.333,0.2,0.6,0.333,0,0,,0.5,0.4,0.8,0.5,0.2,0.4,0.6,0.2,0,0,0,0,1
436,Gian Clavell\clavegi01,SG,24,DAL,7,0,9.1,0.9,2.6,0.333,0.9,2.1,0.4,0,0.4,0,0.5,0.3,0.3,1,0.1,0.9,1,0.4,0.3,0,0.3,1.1,2.9
437,Matt Costello\costema01,C,24,SAS,3,0,6,0.3,1,0.333,0,0,,0.3,1,0.333,0.333,0,0,,0.3,2,2.3,0,0,0.7,0.3,1.7,0.7
438,Markelle Fultz\fultzma01,SG,19,PHI,4,0,19,2.3,6.8,0.333,0,0,,2.3,6.8,0.333,0.333,1.5,3,0.5,0.8,1.5,2.3,1.8,0.5,0.3,1.5,1.5,6
439,Nigel Hayes\hayesni01,SF,23,LAL,2,0,5.5,0.5,1.5,0.333,0,1,0,0.5,0.5,1,0.333,0.5,0.5,1,0,0,0,1,0,0,0,0,1.5
440,Derrick Walton\waltode01,PG,22,MIA,14,0,9.8,0.6,1.7,0.333,0.5,1.2,0.412,0.1,0.5,0.143,0.479,0.3,0.3,1,0.1,0.8,0.9,1.1,0.4,0.2,0.1,0.4,1.9
441,Matt Williams\willima05,SG,24,MIA,3,0,3.7,0.7,2,0.333,0.3,1.7,0.2,0.3,0.3,1,0.417,0,0,,0,0.3,0.3,0,0,0,0.3,0.3,1.7
442,James Young\youngja01,SG,22,PHI,5,0,10.4,0.8,2.4,0.333,0.6,2,0.3,0.2,0.4,0.5,0.458,0.8,1.2,0.667,0,0.4,0.4,0.4,0,0,0,0.6,3
443,Malachi Richardson\richama01,SG,22,SAC,25,4,12.8,1.2,3.5,0.33,0.5,1.6,0.308,0.7,2,0.347,0.398,0.7,0.9,0.773,0.2,1.1,1.3,0.5,0.4,0,0.4,1.1,3.5
444,Bobby Brown\brownbo02,PG,33,HOU,20,0,5.8,1,2.9,0.328,0.6,2,0.275,0.4,0.9,0.444,0.422,0.1,0.1,0.5,0,0.4,0.4,0.6,0.2,0,0.5,0.3,2.5
445,Jason Smith\smithja02,C,31,WAS,21,2,9.2,1.2,3.7,0.325,0,1,0.05,1.1,2.7,0.421,0.331,0.6,0.7,0.857,0.8,1.1,1.9,0.4,0.1,0.5,0.5,1.7,3
446,Semi Ojeleye\ojelese01,PF,23,BOS,46,0,13.3,0.8,2.3,0.324,0.6,1.8,0.31,0.2,0.5,0.375,0.444,0.3,0.5,0.619,0.5,1.4,1.8,0.2,0.3,0,0.3,1,2.4
447,Ramon Sessions\sessira01,PG,31,NYK,13,3,12.8,1.3,4.1,0.321,0.2,0.8,0.182,1.2,3.2,0.357,0.34,0.9,1.2,0.8,0.1,1.3,1.4,2.1,0.5,0.1,1.2,1.1,3.7
448,Sean Kilpatrick\kilpase01,SG,28,TOT,28,0,9.3,1.4,4.3,0.319,0.6,2.1,0.267,0.8,2.1,0.373,0.387,0.8,0.8,0.957,0,1.6,1.6,0.8,0.1,0,0.7,0.6,4.1
449,Darrell Arthur\arthuda01,PF,29,DEN,8,1,8.6,0.9,2.8,0.318,0.3,1.4,0.182,0.6,1.4,0.455,0.364,0.1,0.1,1,0.1,1,1.1,0.4,0.4,0.1,1,1,2.1
450,Kay Felder\feldeka01,PG,22,CHI,14,0,9.6,1.4,4.7,0.303,0.3,1.3,0.222,1.1,3.4,0.333,0.333,0.8,0.9,0.917,0.1,0.9,1,1.4,0.2,0.1,1.1,0.8,3.9
451,Michael Carter-Williams\cartemi01,PG,26,CHO,38,2,15.7,1.2,3.9,0.302,0.2,1,0.231,0.9,2.9,0.327,0.332,1.4,1.7,0.813,0.8,1.9,2.7,2.3,0.7,0.4,1.1,1.9,4
452,Jake Layman\laymaja01,SF,23,POR,22,1,5.9,0.5,1.6,0.286,0.1,0.7,0.188,0.3,0.9,0.368,0.329,0.1,0.1,1,0.1,0.4,0.5,0.4,0.1,0.1,0.2,0.6,1.1
453,Quincy Pondexter\pondequ01,SF,29,CHI,23,1,8.5,0.6,2.1,0.286,0.1,1,0.136,0.5,1.2,0.407,0.316,0.6,0.7,0.824,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1,2
454,Antonius Cleveland\clevean01,SG,23,DAL,13,0,6.2,0.3,1.1,0.286,0,0.1,0,0.3,1,0.308,0.286,0.2,0.3,0.5,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8
455,Myke Henry\henrymy01,SF,25,MEM,6,0,18.8,1.3,4.7,0.286,1.2,3.2,0.368,0.2,1.5,0.111,0.411,0.5,1,0.5,0.3,1.8,2.2,1,1.2,0.7,1,1.2,4.3
456,Demetrius Jackson\jacksde01,PG,23,HOU,12,0,5.3,0.3,1.2,0.286,0,0.5,0,0.3,0.7,0.5,0.286,0,0,,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7
457,James Michael McAdoo\mcadoja01,PF,25,PHI,3,0,6,0.7,2.3,0.286,0.7,2.3,0.286,0,0,,0.429,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,2.7
458,Milton Doyle\doylemi01,SG,24,BRK,6,0,10.5,1.2,4.2,0.28,0.3,2.2,0.154,0.8,2,0.417,0.32,0.3,0.5,0.667,0.3,1.2,1.5,0.7,0.3,0.2,0.3,0.5,3
459,Tony Bradley\bradlto01,C,20,UTA,8,0,3.5,0.4,1.4,0.273,0,0.1,0,0.4,1.3,0.3,0.273,0.3,0.3,1,0.5,0.9,1.4,0.1,0,0,0,0.1,1
460,Jabari Bird\birdja01,SG,23,BOS,4,0,5.5,0.3,1,0.25,0,0.5,0,0.3,0.5,0.5,0.25,0.8,1.3,0.6,0,0.5,0.5,0.3,0.3,0,0,0.5,1.3
461,Charles Cooke\cookech01,SG,23,NOP,6,0,3,0.3,1.3,0.25,0.2,0.7,0.25,0.2,0.7,0.25,0.313,0.2,0.3,0.5,0,0,0,0.2,0.2,0,0.2,0,1
462,Darrun Hilliard\hillida01,SG,24,SAS,10,0,6.4,0.3,1.2,0.25,0,0.4,0,0.3,0.8,0.375,0.25,0.1,0.2,0.5,0,0.4,0.4,0.4,0.2,0,0.3,0.5,0.7
463,John Holland\hollajo02,SF,29,CLE,4,0,4.3,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0,0,,0,0.5,0.5,0,0,0,0.3,0,0.8
464,Furkan Korkmaz\korkmfu01,SG,20,PHI,6,0,5.3,0.5,2,0.25,0.2,1.3,0.125,0.3,0.7,0.5,0.292,0.3,0.3,1,0.3,0.7,1,0.3,0.2,0,0.2,0.7,1.5
465,Alec Peters\peteral01,PF,22,PHO,6,0,10.3,0.7,2.7,0.25,0.5,2.5,0.2,0.2,0.2,1,0.344,0.5,0.5,1,0.3,1.3,1.7,1,0,0.3,0.2,0.3,2.3
466,Josh Smith\smithjo03,PF,32,NOP,3,0,4,0.3,1.3,0.25,0,0,,0.3,1.3,0.25,0.25,0,0,,1,0.3,1.3,0,0,0,0,1,0.7
467,Jacob Wiley\wileyja01,PF,23,BRK,5,0,6.6,0.2,0.8,0.25,0.2,0.4,0.5,0,0.4,0,0.375,0.2,0.4,0.5,0.4,1.8,2.2,0.4,0.2,0,0,0.8,0.8
468,Jamel Artis\artisja01,SG,25,ORL,5,0,11,0.8,3.4,0.235,0,1,0,0.8,2.4,0.333,0.235,0.2,0.6,0.333,0.2,1.2,1.4,0.8,0,0,0,0,1.8
